CMD_ID,CAN_NAME,TYPE,VIS,HANDLER,ACTIVE
CMD_LOOP,LOOP,command,public,cmd_LOOP,T
CMD_LOOP_BUFFER,LOOP_BUFFER,command,public,cmd_LOOP_BUFFER,T
CMD_MAINT,MAINT,command,public,cmd_MAINT,T
CMD_MANSTAR,MANSTAR,command,public,cmd_MANSTAR,T
CMD_MANUAL,MANUAL,command,public,cmd_MANUAL,T
CMD_MAX,MAX,command,public,cmd_MAX,T
CMD_MCC,MCC,command,public,cmd_MCC,T
CMD_MEMO,MEMO,command,public,cmd_MEMO,T
CMD_MIN,MIN,command,public,cmd_MIN,T
CMD_MSGMGR,MSGMGR,command,public,cmd_MSGMGR,T
CMD_MULTIREP,MULTIREP,command,public,cmd_REPLACE_MULTI,T
CMD_NET,NET,command,public,cmd_NET,T
CMD_NEXT,NEXT,command,public,cmd_NEXT,T
CMD_NORMALIZE,NORMALIZE,command,public,edu_NORMALIZE,T
CMD_PREDHELP,PREDHELP,command,public,TODO,T
CMD_PREDICATES,PREDICATES,command,public,TODO,T
CMD_PRIOR,PRIOR,command,public,cmd_PRIOR,T
CMD_PRN,PRN,command,public,cmd_PRN,T
CMD_PROJECTS,PROJECTS,command,public,cmd_PROJECTS,T
CMD_PSHELL,PSHELL,command,public,cmd_PSHELL,T
CMD_QUIT,QUIT,command,public,cmd_QUIT,T
CMD_RBROWSE,RBROWSE,command,public,cmd_RBROWSE,T
CMD_REBUILD,REBUILD,command,public,cmd_REBUILD,T
CMD_RECALL,RECALL,command,public,cmd_RECALL,T
CMD_RECNO,RECNO,command,public,cmd_RECNO,T
CMD_RECORD,RECORD,command,public,cmd_RECORD,T
CMD_RECORDVIEW,RECORDVIEW,command,public,cmd_RECORDVIEW,T
CMD_REFRESH,REFRESH,command,public,cmd_REFRESH,T
CMD_REGRESSION,REGRESSION,command,public,cmd_REGRESSION,T
CMD_REINDEX,REINDEX,command,public,cmd_REINDEX,T
CMD_REL,REL,command,public,cmd_REL,T
CMD_REL_ENUM,REL ENUM,command,public,TODO,T
CMD_RELATIONS,RELATIONS,command,public,cmd_RELATIONS_LIST,T
CMD_REL_LIST,REL_LIST,command,public,cmd_RELATIONS_LIST,T
CMD_REL_REFRESH,REL_REFRESH,command,public,cmd_RELATIONS_REFRESH,T
CMD_RETRO,RETRO,command,public,cmd_RETRO,T
CMD_ROLLBACK,ROLLBACK,command,public,cmd_ROLLBACK,T
CMD_RULE,RULE,command,public,cmd_RULE,T
CMD_SB,SB,command,public,TODO,T
CMD_SCAN_BUFFER,SCAN_BUFFER,command,public,cmd_SCAN_BUFFER,T
CMD_SCHEMA,SCHEMA,command,public,TODO,T
CMD_SCHEMAS,SCHEMAS,command,public,cmd_SCHEMAS,T
CMD_SCX,SCX,command,public,cmd_SCX,T
CMD_SECHO,SECHO,command,public,TODO,T
CMD_SECURITY,SECURITY,command,public,cmd_SECURITY,T
CMD_SEEK,SEEK,command,public,cmd_SEEK,T
CMD_SELECT,SELECT,command,public,cmd_SELECT,T
CMD_SET,SET,command,public,cmd_SET,T
CMD_SET_CASE,SET CASE,command,public,TODO,T
CMD_SET_CDX,SET CDX,command,public,TODO,T
CMD_SET_CNX,SET CNX,command,public,TODO,T
CMD_SET_FILTER,SET FILTER,command,public,TODO,T
CMD_SET_INDEX,SET INDEX,command,public,TODO,T
CMD_SET_LMDB,SET LMDB,command,public,TODO,T
CMD_SET_NEAR,SET NEAR,command,public,TODO,T
CMD_SET_ORDER,SET ORDER,command,public,TODO,T
CMD_SET_PATH,SET PATH,command,public,TODO,T
CMD_SET_RELATION,SET RELATION,command,public,cmd_SET_RELATIONS,T
CMD_SET_UNIQUE,SET UNIQUE,command,public,cmd_SET_UNIQUE,T
CMD_SET_VAR,SET VAR,command,public,TODO,T
CMD_SET_VAR,SET VAR!,command,public,TODO,T
CMD_SETCASE,SETCASE,command,public,cmd_SETCASE,T
CMD_SETCDX,SETCDX,command,public,cmd_SETCDX,T
CMD_SETCNX,SETCNX,command,public,cmd_SETCNX,T
CMD_SETFILTER,SETFILTER,command,public,cmd_SETFILTER,T
CMD_SETINDEX,SETINDEX,command,public,cmd_SETINDEX,T
CMD_SETLMDB,SETLMDB,command,public,cmd_SETLMDB,T
CMD_SETNEAR,SETNEAR,command,public,cmd_SETNEAR,T
CMD_SETORDER,SETORDER,command,public,cmd_SETORDER,T
CMD_SETPATH,SETPATH,command,public,cmd_SETPATH,T
CMD_SFTP,SFTP,command,public,cmd_SFTP,T
CMD_SHELLO,SHELLO,command,public,TODO,T
CMD_SHOWINI,SHOWINI,command,public,cmd_SHOWINI,T
CMD_SHUTDOWN,SHUTDOWN,command,public,cmd_SHUTDOWN,T
CMD_SIMPLEBROWSE,SIMPLEBROWSE,command,public,cmd_SIMPLE_BROWSER,T
CMD_SIMPLEBROWSER,SIMPLEBROWSER,command,public,TODO,T
CMD_SIX,SIX,command,public,cmd_SIX,T
CMD_SKIP,SKIP,command,public,cmd_SKIP,T
CMD_SM,SM,command,public,TODO,T
CMD_SMART,SMART,command,public,TODO,T
CMD_SMARTBROWSE,SMARTBROWSE,command,public,cmd_SMART_BROWSER,T
CMD_SMARTBROWSER,SMARTBROWSER,command,public,TODO,T
CMD_SMARTLIST,SMARTLIST,command,public,cmd_SMARTLIST,T
CMD_SORT,SORT,command,public,cmd_SORT,T
CMD_SQL,SQL,command,public,cmd_SQL,T
CMD_SQLERASE,SQLERASE,command,public,cmd_SQL_ERASE,T
CMD_SQLHELP,SQLHELP,command,public,cmd_SQLHELP,T
CMD_SQLITE,SQLITE,command,public,cmd_SQLITE,T
CMD_SQLSEL,SQLSEL,command,public,cmd_SQL_SELECT,T
CMD_SQLVER,SQLVER,command,public,cmd_SQLVER,T
CMD_STATUS,STATUS,command,public,cmd_STATUS,T
CMD_STOP_ON_ERROR,STOP_ON_ERROR,command,public,cmd_STOP_ON_ERROR,T
CMD_STRCAT,STRCAT,command,public,cmd_CONCAT,T
CMD_STRUCT,STRUCT,command,public,cmd_STRUCT,T
CMD_STUDENTECHO,STUDENTECHO,command,public,TODO,T
CMD_STUDENTHELLO,STUDENTHELLO,command,public,TODO,T
CMD_STU_REPEAT,STU_REPEAT,command,public,TODO,T
CMD_STU_UPPER,STU_UPPER,command,public,TODO,T
CMD_SUM,SUM,command,public,cmd_SUM,T
CMD_TABLE,TABLE,command,public,TODO,T
CMD_TABLEMETA,TABLEMETA,command,public,cmd_TABLEMETA,T
