CMD_ID,CAN_NAME,TYPE,VIS,HANDLER,ACTIVE
CMD_INIT,INIT,command,public,cmd_INIT,t
CMD_INSERT,INSERT,command,public,cmd_SQL_INSERT,t
CMD_LAST,LAST,command,public,cmd_LAST,t
CMD_LIST,LIST,command,public,cmd_LIST,t
CMD_LIST_LMDB,LIST_LMDB,command,public,cmd_LIST_LMDB,t
CMD_LMDB_UTIL,LMDB_UTIL,command,public,cmd_LMDB_UTIL,t
CMD_LOCATE,LOCATE,command,public,cmd_LOCATE,t
CMD_LOCK,LOCK,command,public,cmd_LOCK,t
CMD_LOOP,LOOP,syntax-command,public,cmd_LOOP,t
CMD_MAINT,MAINT,command,public,cmd_MAINT,t
CMD_MANSTAR,MANSTAR,command,public,cmd_MANSTAR,t
CMD_MANUAL,MANUAL,command,public,cmd_MANUAL,t
CMD_MAX,MAX,command,public,cmd_MAX,t
CMD_MCC,MCC,command,public,cmd_MCC,t
CMD_MEMO,MEMO,command,public,cmd_MEMO,t
CMD_MIN,MIN,command,public,cmd_MIN,t
CMD_MSGMGR,MSGMGR,command,public,cmd_MSGMGR,t
CMD_MULTIREP,MULTIREP,command,public,cmd_REPLACE_MULTI,t
CMD_NEXT,NEXT,command,public,cmd_NEXT,t
CMD_NORMALIZE,NORMALIZE,command,public,edu_NORMALIZE,t
CMD_PACK,PACK,command,public,cmd_PACK,t
CMD_PREDHELP,PREDHELP,command,public,cmd_PREDHELP,t
CMD_PRIOR,PRIOR,command,public,cmd_PRIOR,t
CMD_PRN,PRN,command,public,cmd_PRN,t
CMD_PROJECTS,PROJECTS,command,public,cmd_PROJECTS,t
CMD_PSHELL,PSHELL,command,public,cmd_PSHELL,t
CMD_QUIT,QUIT,command,public,cmd_QUIT,t
CMD_RBROWSE,RBROWSE,command,public,cmd_RBROWSE,t
CMD_REBUILD,REBUILD,command,public,cmd_REBUILD,t
CMD_RECALL,RECALL,command,public,cmd_RECALL,t
CMD_RECNO,RECNO,command,public,cmd_RECNO,t
CMD_RECORD,RECORD,command,public,cmd_RECORD,t
CMD_RECORDVIEW,RECORDVIEW,command,public,cmd_RECORDVIEW,t
CMD_REFRESH,REFRESH,command,public,cmd_REFRESH,t
CMD_REGRESSION,REGRESSION,command,public,cmd_REGRESSION,t
CMD_REINDEX,REINDEX,command,public,cmd_REINDEX,t
CMD_REL,REL,command,public,cmd_REL,t
CMD_RELATIONS,RELATIONS,command,public,cmd_RELATIONS_LIST,t
CMD_REL_REFRESH,REL_REFRESH,command,public,cmd_RELATIONS_REFRESH,t
CMD_REPLACE,REPLACE,command,public,cmd_REPLACE,t
CMD_RETRO,RETRO,command,public,cmd_RETRO,t
CMD_ROLLBACK,ROLLBACK,command,public,cmd_ROLLBACK,t
CMD_RULE,RULE,command,public,cmd_RULE,t
CMD_SCAN,SCAN,syntax-command,public,cmd_SCAN,t
CMD_SCHEMAS,SCHEMAS,command,public,cmd_SCHEMAS,t
CMD_SCX,SCX,command,public,cmd_SCX,t
CMD_SECURITY,SECURITY,command,public,cmd_SECURITY,t
CMD_SEEK,SEEK,command,public,cmd_SEEK,t
CMD_SELECT,SELECT,command,public,cmd_SELECT,t
CMD_SET,SET,command,public,cmd_SET,t
CMD_SET_CASE,SET CASE,command,public,cmd_SETCASE,t
CMD_SET_CDX,SET CDX,command,public,cmd_SETCDX,t
CMD_SET_CNX,SET CNX,command,public,cmd_SETCNX,t
CMD_SET_FILTER,SET FILTER,command,public,cmd_SETFILTER,t
CMD_SET_INDEX,SET INDEX,command,public,cmd_SETINDEX,t
CMD_SET_NEAR,SET NEAR,command,public,cmd_SETNEAR,t
CMD_SET_ORDER,SET ORDER,command,public,cmd_SETORDER,t
CMD_SET_RELATION,SET RELATION,command,public,cmd_SET_RELATIONS,t
CMD_SET_UNIQUE,SET UNIQUE,command,public,cmd_SET_UNIQUE,t
CMD_SETPATH,SETPATH,command,public,cmd_SETPATH,t
CMD_SFTP,SFTP,command,public,cmd_SFTP,t
CMD_SHOW,SHOW,command,public,cmd_SQL_SHOW,t
CMD_SHOWINI,SHOWINI,command,public,cmd_SHOWINI,t
CMD_SHUTDOWN,SHUTDOWN,command,public,cmd_SHUTDOWN,t
CMD_SIMPLEBROWSE,SIMPLEBROWSE,command,public,cmd_SIMPLE_BROWSER,t
CMD_SIX,SIX,command,public,cmd_SIX,t
CMD_SKIP,SKIP,command,public,cmd_SKIP,t
CMD_SMARTBROWSE,SMARTBROWSE,command,public,cmd_SMART_BROWSER,t
CMD_SMARTLIST,SMARTLIST,command,public,cmd_SMARTLIST,t
CMD_SORT,SORT,command,public,cmd_SORT,t
CMD_SQL,SQL,command,public,cmd_SQL,t
CMD_SQLERASE,SQLERASE,command,public,cmd_SQL_ERASE,t
CMD_SQLHELP,SQLHELP,command,public,cmd_SQLHELP,t
CMD_SQLITE,SQLITE,command,public,cmd_SQLITE,t
CMD_SQLSEL,SQLSEL,command,public,cmd_SQL_SELECT,t
CMD_SQLVER,SQLVER,command,public,cmd_SQLVER,t
CMD_STATUS,STATUS,command,public,cmd_STATUS,t
CMD_STRUCT,STRUCT,command,public,cmd_STRUCT,t
CMD_STUDENTECHO,STUDENTECHO,command,public,cmd_STUDENTECHO,t
CMD_STUDENTHELLO,STUDENTHELLO,command,public,cmd_STUDENTHELLO,t
CMD_SUM,SUM,command,public,cmd_SUM,t
CMD_TABLEMETA,TABLEMETA,command,public,cmd_TABLEMETA,t
CMD_TABLE_BUFFER,TABLE_BUFFER,command,public,cmd_TABLE_BUFFER,t
CMD_TEST,TEST,command,public,cmd_TEST,t
CMD_TEXT,TEXT,command,public,cmd_TEXT,t
CMD_TOP,TOP,command,public,cmd_TOP,t
CMD_TUPEXPORT,TUPEXPORT,command,public,cmd_TUPEXPORT,t
CMD_TUPLE,TUPLE,command,public,cmd_TUPLE,t
CMD_TUPLEDELTA,TUPLEDELTA,command,public,cmd_TUPLEDELTA,t
CMD_TUPTALK,TUPTALK,command,public,cmd_TUPTALK,t
CMD_TUPVALIDATE,TUPVALIDATE,command,public,cmd_TUPVALIDATE,t
CMD_TURBOPACK,TURBOPACK,command,public,cmd_TURBOPACK,t
CMD_TVISION,TVISION,command,public,cmd_TVISION,t
CMD_UNLOCK,UNLOCK,command,public,cmd_UNLOCK,t
CMD_UNTIL,UNTIL,syntax-command,public,cmd_UNTIL,t
CMD_UPDATE,UPDATE,command,public,cmd_SQL_UPDATE,t
CMD_USE,USE,command,public,cmd_USE,t
CMD_VALIDATE,VALIDATE,command,public,cmd_VALIDATE,t
CMD_VAR,VAR,command,public,cmd_VAR,t
CMD_VERSION,VERSION,command,public,cmd_VERSION,t
CMD_WA,WA,command,public,cmd_WAMREPORT,t
CMD_WEB,WEB,command,public,cmd_WEB,t
CMD_WHERE,WHERE,command,public,cmd_WHERE,t
CMD_WHERECACHE,WHERECACHE,command,public,cmd_WHERECACHE,t
CMD_WHILE,WHILE,syntax-command,public,cmd_WHILE,t
CMD_WORKSPACE,WORKSPACE,command,public,cmd_WORKSPACE,t
CMD_WSREPORT,WSREPORT,command,public,cmd_WSREPORT,t
CMD_ZAP,ZAP,command,public,cmd_ZAP,t
CMD_ZIP,ZIP,command,public,cmd_ZIP,t
